Tanggal,Jam,Detik,(ga dipake),Kode Toko,Jenis Barang, Kode JAN ,Jumlah,Harga
20161125,1831,34,101,1,タイヤ,123 ,4,1000
20161129,1546,2,101,1,タイヤ,4961914330811 ,5,0
20161129,1546,20,101,1,タイヤ,4961914338411 ,8,0
20161129,1546,39,101,1,タイヤ,4961914338473 ,4,0
20161129,1547,2,101,1,タイヤ,4961914338435 ,4,0
20161129,1547,32,101,1,タイヤ,4961914330880 ,7,0
20161129,1551,8,101,1,タイヤ,4961914453213 ,9,0
20161129,1551,28,101,1,タイヤ,4961914453206 ,10,0
20161129,1551,52,101,1,タイヤ,4961914451592 ,8,0
20161129,1552,31,101,1,タイヤ,4961914344917 ,4,0
20161129,1552,45,101,1,タイヤ,4961914338770 ,4,0
20161129,1553,18,101,1,タイヤ,4961914345051 ,3,0
20161129,1554,6,101,1,タイヤ,4961914338633 ,4,0
20161129,1554,21,101,1,タイヤ,4961914345013 ,4,0
20161129,1554,52,101,1,タイヤ,4961914338626 ,4,0
20161129,1557,57,101,1,タイヤ,4961914340193 ,4,0
20161129,1558,21,101,1,タイヤ,4961914320164 ,4,0
20161129,1600,30,101,1,タイヤ,4961914337315 ,4,0
20161129,1602,22,101,1,タイヤ,4961914450526 ,6,0
20161129,1605,42,101,3,タイヤ,4961914453206 ,4,0
20161129,1606,11,101,1,タイヤ,4961914330880 ,1,0
20161129,1606,57,101,1,タイヤ,4961914326999 ,4,0
20161129,1611,4,101,1,タイヤ,4961914320430 ,4,0
20161129,1618,25,101,1,タイヤ,4961914320430 ,4,0
20161129,1619,30,101,1,タイヤ,4961914313593 ,4,0
20161129,1619,52,101,1,タイヤ,4961914338527 ,4,0
20161129,1619,59,101,1,タイヤ,4961914313661 ,4,0
20161129,1620,19,101,1,タイヤ,4961914338657 ,4,0
20161129,1620,41,101,1,タイヤ,4961914338589 ,3,0
20161129,1620,54,101,1,タイヤ,4961914338701 ,4,0
20161129,1621,50,101,1,タイヤ,4961914320348 ,4,0
20161129,1622,4,101,1,タイヤ,4961914337292 ,4,0
20161129,1622,25,101,1,タイヤ,4961914337315 ,4,0
20161129,1622,41,101,1,タイヤ,4961914337278 ,4,0
20161129,1624,24,101,1,タイヤ,4961914832988 ,2,0
20161129,1624,48,101,1,タイヤ,4961914337582 ,4,0
20161129,1625,0,101,1,タイヤ,4961914337339 ,4,0
20161129,1627,50,101,1,バッテリー,4549077453181 ,1,0
20161129,1628,7,101,1,バッテリー,4902704028365 ,1,0
20161129,1628,50,101,1,タイヤ,4961914339470 ,4,0
20161129,1629,4,101,1,タイヤ,4961914339463 ,4,0
20161129,1629,14,101,1,タイヤ,4961914339968 ,4,0
20161129,1629,23,101,1,タイヤ,4961914320348 ,4,0
20161129,1629,34,101,1,タイヤ,4961914320287 ,4,0
20161129,1629,49,101,1,タイヤ,4961914320331 ,4,0
20161129,1630,3,101,1,タイヤ,4961914337285 ,4,0
20161129,1630,13,101,1,タイヤ,4961914337292 ,4,0
20161129,1630,20,101,1,タイヤ,4961914337308 ,4,0
20161129,1631,0,101,1,バッテリー,4984824823617 ,1,0
20161129,1631,13,101,1,バッテリー,4905388207002 ,1,0
20161129,1631,39,101,2,バッテリー,4549077453181 ,1,0
20161129,1632,15,101,1,バッテリー,4905388108248 ,1,0
20161129,1632,57,101,1,バッテリー,4984824823631 ,1,0
20161129,1634,34,101,1,タイヤ,4961914338657 ,2,0
20161129,1634,52,101,1,タイヤ,4961914333607 ,1,0
20161129,1635,30,101,1,タイヤ,4961914333713 ,2,0
20161129,1635,43,101,1,タイヤ,4961914333133 ,2,0
20161129,1636,36,101,1,タイヤ,4961914843724 ,4,0
20161129,1637,22,101,1,タイヤ,4961914338527 ,8,0
20161129,1637,43,101,1,タイヤ,4961914336554 ,4,0
